species,sepal_length,sepal_width,petal_length,petal_width
versicolor,5.99,2.87,4.58,0.92
versicolor,5.09,1.81,5.44,1.01
virginica,5.82,3.11,5.84,2.23
virginica,7.69,2.38,5.41,1.76
versicolor,6.62,2.65,4.42,1.09
setosa,5.57,3.4,1.43,0.32
versicolor,5.9,2.25,4.1,1.17
versicolor,5.07,2.47,4.65,1.87
virginica,7.28,3.48,4.56,2.28
versicolor,6.08,2.66,4.33,1.42
virginica,6.1,3.38,5.17,2.81
versicolor,5.8,3.2,4.03,1.79
setosa,4.34,3.78,1.32,0.32
setosa,4.75,2.8,1.15,0.31
versicolor,6.57,2.76,4.53,1.61
virginica,7.07,2.62,5.57,1.59
virginica,6.12,2.41,5.56,1.49
versicolor,6.78,2.28,4.37,1.45
setosa,5.1,2.8,1.47,0.38
virginica,7.79,2.81,4.56,1.4
virginica,5.67,3.58,7.05,1.76
setosa,5.03,4.57,1.85,0.35
versicolor,6.08,2.83,4.25,1.39
setosa,4.76,4.05,1.55,0.14
versicolor,6.6,2.51,4.01,1.17
versicolor,6.78,2.39,4.11,0.92
virginica,7.55,3.17,4.5,2.01
setosa,5.8,3.97,1.62,0.56
versicolor,6.33,1.8,4.25,1.17
virginica,8.03,3.01,5.81,2.02
virginica,7.02,2.89,5.47,1.75
setosa,5.16,2.85,1.62,0.27
virginica,7.55,2.88,6.23,2.65
setosa,4.04,2.55,1.5,0.31
virginica,6.65,2.54,6.08,1.75
setosa,5.48,4.05,1.53,0.37
setosa,4.88,2.49,1.4,0.2
virginica,7.46,3.21,4.98,1.97
versicolor,6.2,3.15,4.25,1.6
virginica,6.13,3.21,5.34,1.79
setosa,4.84,3.79,1.58,0.29
versicolor,6.58,3.36,3.96,1.35
setosa,4.58,4.5,1.36,0.29
versicolor,5.85,2.62,4.33,1.32
versicolor,6.03,2.77,4.31,1.08
virginica,5.98,2.53,5.58,1.76
virginica,4.75,2.34,4.62,1.84
setosa,5.25,3.17,1.7,0.34
setosa,4.66,3.5,1.42,0.35
virginica,7.3,3.96,5.84,1.9
virginica,6.74,3.64,6.14,2.49
setosa,5.1,2.76,1.67,0.34
versicolor,5.68,3.49,5.2,1.71
setosa,4.85,2.87,1.23,0.26
setosa,5.15,2.51,1.33,0.2
virginica,6.91,3.3,6.77,2.6
setosa,4.41,2.82,1.22,0.46
virginica,6.89,2.42,5.99,1.63
versicolor,5.72,2.23,3.95,1.27
virginica,6.7,3.37,4.89,1.81
versicolor,5.56,2.81,3.99,1.5
versicolor,5.69,3.04,3.91,1.54
versicolor,6.65,2.77,3.4,1.3
virginica,5.96,3.13,5.69,2.11
setosa,4.93,2.82,1.46,0.29
versicolor,5.49,2.42,4.8,1.05
setosa,4.16,3.13,1.36,0.24
versicolor,6.65,3.14,4.95,1.15
versicolor,5.34,2.37,4.07,1.2
setosa,5.11,3.47,1.79,0.22
versicolor,6.02,2.66,3.13,1.34
setosa,5.16,3.02,1.64,0.43
versicolor,5.61,2.87,4.63,1.19
virginica,6.89,2.87,5.41,1.85
virginica,6.7,3.02,4.59,2.2
virginica,7.65,2.9,5.98,1.49
virginica,6.72,2.44,5.96,1.69
versicolor,6.1,2.12,4.32,1.05
virginica,6.16,3.44,6.0,1.8
virginica,5.3,2.8,6.65,1.36
virginica,5.08,3.2,5.22,2.28
versicolor,6.01,3.2,3.43,1.01
versicolor,6.72,3.18,4.6,1.53
virginica,6.56,3.1,5.6,2.08
versicolor,6.94,3.16,4.69,1.4
versicolor,7.2,1.96,4.03,1.05
virginica,6.77,3.14,5.6,1.67
virginica,6.34,2.84,6.15,2.22
setosa,5.14,3.67,0.96,0.44
virginica,5.16,2.19,5.07,2.02
versicolor,6.38,2.57,4.35,1.39
setosa,5.67,3.62,1.38,0.45
setosa,5.11,3.54,1.5,0.19
versicolor,6.19,2.81,4.1,1.41
versicolor,5.85,3.48,4.7,1.34
virginica,6.59,3.42,5.42,2.0
virginica,6.0,3.34,6.57,2.3
virginica,6.75,3.33,5.5,2.07
virginica,7.71,2.04,5.36,1.7
versicolor,6.22,3.08,4.39,1.97
