species,sepal_length,sepal_width,petal_length,petal_width
versicolor,6.33,2.17,3.48,1.03
setosa,5.2,3.72,1.4,0.37
virginica,6.75,3.49,6.36,1.61
versicolor,6.24,3.15,3.66,1.23
virginica,7.92,2.85,6.48,2.24
virginica,7.75,2.22,6.33,1.81
versicolor,6.99,2.48,3.95,1.16
setosa,4.99,3.35,1.17,0.38
versicolor,4.52,2.48,4.39,1.29
versicolor,5.49,3.5,3.97,1.21
virginica,6.42,3.18,5.49,2.54
versicolor,5.93,3.1,4.38,1.13
setosa,4.33,3.82,1.36,0.42
setosa,4.66,2.97,1.42,0.33
virginica,7.07,2.3,5.9,1.48
setosa,4.33,3.77,1.87,0.2
setosa,5.08,3.29,1.55,0.17
setosa,4.8,3.58,1.8,0.1
virginica,6.79,3.25,4.72,2.26
virginica,5.75,1.96,5.82,1.65
virginica,6.23,2.0,5.19,1.67
versicolor,5.84,2.37,4.67,1.25
setosa,5.48,3.63,1.43,0.38
setosa,4.85,3.68,1.53,0.36
versicolor,6.4,3.24,4.01,1.07
versicolor,6.56,2.87,4.37,1.4
virginica,6.57,2.51,6.69,1.76
versicolor,5.71,3.42,4.29,1.76
setosa,5.47,3.92,1.57,0.39
setosa,5.3,3.19,1.97,0.34
setosa,4.95,2.92,1.65,0.28
virginica,5.42,2.9,6.01,1.67
virginica,6.78,3.58,5.46,2.52
setosa,4.68,3.17,1.61,0.24
setosa,5.11,3.14,1.77,0.26
versicolor,5.04,2.71,3.9,1.22
setosa,4.43,3.23,1.54,0.39
versicolor,5.76,3.02,4.0,1.12
virginica,5.67,3.16,4.5,2.11
virginica,6.61,3.54,5.65,1.92
versicolor,7.21,2.81,4.75,1.41
versicolor,6.96,2.35,3.94,1.21
virginica,6.87,2.73,5.77,1.3
virginica,7.35,2.76,6.61,2.1
setosa,5.35,3.5,1.66,0.2
setosa,5.33,3.37,1.52,0.24
setosa,5.74,4.65,1.41,0.35
setosa,4.48,3.31,1.4,0.27
versicolor,6.58,2.88,3.96,1.41
versicolor,5.4,2.73,4.25,1.34
versicolor,6.32,2.3,4.38,1.04
versicolor,7.36,2.6,4.64,1.05
setosa,4.91,3.19,1.86,0.35
versicolor,5.8,2.04,4.15,0.93
versicolor,6.38,2.49,3.74,1.43
setosa,4.73,2.9,1.58,0.28
versicolor,6.18,2.84,5.6,1.81
versicolor,5.11,2.98,4.65,1.14
setosa,5.69,3.43,1.67,0.49
setosa,5.05,3.49,1.37,0.25
setosa,5.55,4.1,1.86,0.34
versicolor,5.75,2.88,3.24,1.61
setosa,5.22,3.32,1.81,0.35
virginica,6.73,3.48,5.71,2.28
versicolor,6.2,2.7,4.45,1.2
setosa,4.78,3.82,1.41,0.49
virginica,6.14,3.5,5.26,2.04
versicolor,6.37,2.08,4.6,1.21
setosa,6.15,2.85,1.55,0.13
versicolor,5.36,3.43,4.42,1.65
virginica,6.44,3.29,5.81,2.49
virginica,6.98,2.58,5.13,2.15
versicolor,5.53,3.27,4.47,1.6
virginica,7.27,2.73,5.76,1.52
setosa,4.81,3.93,1.58,0.29
virginica,6.87,3.82,6.45,2.46
setosa,5.43,3.83,1.59,0.38
versicolor,6.41,2.87,4.46,1.24
setosa,5.14,3.22,1.75,0.22
virginica,7.23,3.35,6.17,1.63
setosa,5.15,3.19,1.3,0.35
versicolor,5.56,3.24,3.61,0.99
virginica,6.42,2.75,5.23,2.5
virginica,6.33,2.94,6.43,2.56
setosa,4.94,4.0,1.53,0.51
setosa,4.45,4.1,1.57,0.55
setosa,5.06,2.67,1.48,0.27
setosa,5.26,3.47,1.62,0.26
versicolor,6.23,3.24,4.19,1.46
virginica,7.43,3.2,4.29,2.09
virginica,6.54,3.31,5.61,2.28
virginica,6.42,2.55,4.46,1.52
versicolor,6.29,2.94,4.4,1.4
virginica,5.32,2.57,5.6,2.43
virginica,7.55,3.42,4.84,2.45
setosa,5.08,2.7,1.49,0.3
versicolor,6.09,2.55,4.82,0.87
virginica,6.34,3.09,5.7,2.17
versicolor,6.04,3.19,3.81,0.99
virginica,5.57,3.76,5.49,2.18
