species,sepal_length,sepal_width,petal_length,petal_width
setosa,4.71,3.54,1.45,0.31
setosa,5.18,2.96,1.26,0.22
versicolor,6.63,3.08,4.9,1.24
versicolor,5.21,2.98,4.95,1.55
virginica,6.38,2.24,5.3,1.71
versicolor,6.62,3.56,4.23,1.42
virginica,5.54,3.02,6.03,1.79
virginica,7.28,3.87,4.8,1.93
virginica,6.21,2.17,6.03,1.54
virginica,7.81,2.43,5.59,2.03
setosa,4.86,4.59,1.46,0.33
setosa,5.28,2.69,1.21,0.31
setosa,5.3,3.77,1.73,0.24
versicolor,6.52,2.4,4.18,1.41
setosa,5.17,3.71,1.81,0.52
virginica,5.63,2.89,4.85,1.72
setosa,4.95,3.27,1.69,0.23
setosa,5.44,3.18,1.46,0.23
versicolor,6.45,3.08,3.87,1.37
versicolor,6.71,2.24,5.22,1.22
virginica,6.21,3.45,5.23,1.55
versicolor,6.46,2.51,4.16,1.32
virginica,7.02,3.12,6.23,1.85
virginica,6.16,3.07,5.3,1.88
versicolor,5.55,3.06,3.65,1.47
versicolor,5.18,2.54,3.9,1.24
virginica,7.03,2.28,5.8,0.93
versicolor,5.91,3.3,4.36,1.63
setosa,4.71,4.2,1.53,0.58
setosa,4.92,3.18,1.37,0.32
versicolor,7.0,2.97,4.86,0.99
virginica,7.05,3.35,5.37,2.41
virginica,7.0,3.16,5.48,1.99
setosa,4.93,3.67,1.32,0.37
versicolor,6.61,2.69,5.06,0.87
setosa,5.05,3.14,1.07,0.47
virginica,6.11,3.1,5.17,2.26
setosa,4.87,3.3,1.66,0.27
setosa,5.03,4.08,1.57,0.5
virginica,5.36,2.51,5.16,1.93
setosa,4.45,4.45,1.68,0.34
setosa,5.05,4.13,1.59,0.22
setosa,5.39,3.0,1.71,0.26
versicolor,4.95,3.19,4.79,1.31
setosa,4.71,3.09,1.42,0.34
setosa,5.34,3.93,1.59,0.3
versicolor,6.92,3.4,4.2,1.6
setosa,5.12,2.69,1.57,0.19
versicolor,5.51,2.79,4.51,1.49
setosa,5.35,3.82,1.69,0.16
virginica,6.03,2.84,5.02,2.49
versicolor,6.52,2.8,3.36,1.2
virginica,6.98,3.2,5.91,2.29
virginica,5.99,3.49,5.78,2.19
setosa,4.52,3.95,1.91,0.42
setosa,4.96,3.61,1.64,0.34
setosa,4.55,4.0,1.83,0.37
versicolor,5.58,3.31,4.54,1.47
versicolor,6.83,2.22,4.04,1.29
virginica,6.68,3.47,5.97,2.1
versicolor,5.73,2.8,4.92,1.45
virginica,6.83,3.25,5.07,2.03
versicolor,6.27,2.68,4.55,1.11
versicolor,4.92,3.14,3.43,1.57
virginica,6.33,3.31,6.15,2.13
setosa,5.55,3.93,1.74,0.43
virginica,5.54,3.54,4.82,1.76
versicolor,6.54,2.66,4.21,1.44
versicolor,6.71,2.34,4.78,1.66
versicolor,6.52,2.83,4.33,1.3
virginica,6.72,3.13,5.3,2.03
virginica,6.47,2.85,6.05,2.13
setosa,4.49,2.78,1.55,0.37
versicolor,6.18,2.96,4.96,1.57
setosa,4.9,3.09,1.45,0.21
versicolor,5.68,2.14,3.72,0.96
versicolor,5.67,2.84,3.28,0.89
setosa,5.12,4.08,1.67,0.21
versicolor,5.54,2.25,4.6,1.58
virginica,6.62,2.6,4.83,2.16
versicolor,6.08,2.89,4.13,1.41
virginica,6.15,3.47,5.54,1.85
versicolor,5.7,3.38,4.18,1.23
virginica,5.98,3.53,5.28,2.05
versicolor,6.51,3.01,5.14,1.49
setosa,4.7,3.82,1.26,0.27
versicolor,5.8,2.83,3.85,1.23
versicolor,5.35,2.97,4.19,1.63
versicolor,6.15,2.91,3.94,1.37
virginica,6.73,2.45,5.8,1.82
versicolor,6.42,2.54,4.87,1.29
virginica,6.92,3.43,5.05,2.11
virginica,6.37,2.26,5.84,1.37
virginica,5.93,3.38,6.11,2.03
setosa,5.27,3.32,1.32,0.36
setosa,5.25,3.71,1.25,0.3
versicolor,6.25,2.33,4.29,1.09
versicolor,6.21,2.9,4.31,1.4
setosa,4.9,2.56,1.51,0.23
setosa,5.7,3.94,1.36,0.24
